Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","231","Almonds shelled","2014","2014","tonnes","167","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","231","Almonds shelled","2015","2015","tonnes","181","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","231","Almonds shelled","2016","2016","tonnes","845","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","231","Almonds shelled","2017","2017","tonnes","102","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1961","1961","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1962","1962","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1963","1963","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1964","1964","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1965","1965","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1966","1966","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1967","1967","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1968","1968","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1969","1969","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1970","1970","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1971","1971","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1972","1972","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1973","1973","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1974","1974","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1975","1975","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1976","1976","tonnes","642","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1977","1977","tonnes","286","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1978","1978","tonnes","518","*","Unofficial figure"
